PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,AST,REB,FG3M,STL,BLK,PTS+REB,PTS+AST,REB+AST,PTS+REB+AST
Nikola Jokić,DEN,32,34.6,29.6,11.0,12.2,2.1,1.4,0.8,41.8,40.6,23.2,52.8
Luka Dončić,LAL,34,36.3,33.5,8.7,7.7,3.4,1.6,0.5,41.2,42.2,16.4,49.9
Giannis Antetokounmpo,MIL,28,29.0,28.5,5.5,9.8,0.5,0.9,0.8,38.3,34.0,15.3,43.8
Shai Gilgeous-Alexander,OKC,42,33.4,31.8,6.2,4.3,1.9,1.3,0.8,36.1,38.0,10.5,42.3
Cade Cunningham,DET,36,35.5,25.7,9.8,5.9,1.9,1.4,0.8,31.6,35.5,15.7,41.4
Jalen Johnson,ATL,41,35.5,23.0,8.0,10.2,1.6,1.2,0.5,33.2,31.0,18.2,41.2
Tyrese Maxey,PHI,40,39.5,30.0,6.7,4.4,3.6,2.1,1.0,34.4,36.7,11.1,41.1
Jaylen Brown,BOS,39,34.1,29.8,4.7,6.6,2.2,0.9,0.4,36.4,34.5,11.3,41.1
Deni Avdija,POR,41,35.3,26.2,6.9,7.1,2.3,0.9,0.6,33.3,33.1,14.0,40.2
Donovan Mitchell,CLE,40,34.0,29.0,5.7,4.8,3.8,1.5,0.3,33.8,34.7,10.5,39.5
James Harden,LAC,40,35.6,26.0,8.0,4.8,3.1,1.3,0.4,30.8,34.0,12.8,38.8
Anthony Edwards,MIN,35,35.2,29.9,3.7,5.0,3.5,1.3,0.8,34.9,33.6,8.7,38.6
Victor Wembanyama,SAS,30,28.7,24.4,2.9,10.8,1.8,0.8,2.5,35.2,27.3,13.7,38.1
Austin Reaves,LAL,23,35.3,26.6,6.3,5.2,2.7,1.0,0.2,31.8,32.9,11.5,38.1
Kawhi Leonard,LAC,30,33.8,28.2,3.5,6.3,2.9,2.2,0.6,34.5,31.7,9.8,38.0
Jamal Murray,DEN,40,35.4,26.0,7.4,4.4,3.4,1.0,0.3,30.4,33.4,11.8,37.8
Jalen Brunson,NYK,38,34.5,28.1,6.1,3.2,2.9,0.7,0.1,31.3,34.2,9.3,37.4
Lauri Markkanen,UTA,33,36.0,27.9,2.2,7.2,2.9,1.0,0.5,35.1,30.1,9.4,37.3
Alperen Sengun,HOU,34,34.2,21.5,6.4,9.3,0.6,1.4,1.0,30.8,27.9,15.7,37.2
Josh Giddey,CHI,30,32.8,19.2,9.0,8.9,1.9,0.9,0.4,28.1,28.2,17.9,37.1
Michael Porter Jr.,BKN,33,33.2,25.7,3.2,7.4,3.8,1.1,0.2,33.1,28.9,10.6,36.3
Stephen Curry,GSW,35,31.6,27.1,5.1,3.7,4.5,1.1,0.4,30.8,32.2,8.8,35.9
Kevin Durant,HOU,39,36.6,25.9,4.6,5.4,2.2,0.7,0.9,31.3,30.5,10.0,35.9
Devin Booker,PHX,40,34.1,25.3,6.3,4.0,1.6,0.9,0.3,29.3,31.6,10.3,35.6
Karl-Anthony Towns,NYK,40,32.3,21.0,3.0,11.6,1.7,0.9,0.7,32.6,24.0,14.6,35.6
LeBron James,LAL,25,33.2,22.5,7.0,6.0,1.6,1.0,0.7,28.5,29.5,13.0,35.5
Keyonte George,UTA,43,34.4,24.4,6.7,4.0,2.6,1.0,0.3,28.4,31.1,10.7,35.1
Julius Randle,MIN,44,33.7,22.4,5.4,7.0,1.6,1.1,0.2,29.4,27.8,12.4,34.8
Paolo Banchero,ORL,32,33.9,20.9,5.0,8.8,1.0,0.7,0.7,29.7,25.9,13.8,34.7
Pascal Siakam,IND,42,33.9,23.6,4.0,6.9,1.8,1.2,0.4,30.5,27.6,10.9,34.5
Joel Embiid,PHI,23,29.6,24.2,3.3,7.0,1.0,0.6,1.1,31.2,27.5,10.3,34.5
Anthony Davis,DAL,20,31.3,20.4,2.8,11.1,0.5,1.1,1.7,31.5,23.2,13.9,34.3
Scottie Barnes,TOR,44,34.6,19.7,5.5,8.2,1.0,1.3,1.3,27.9,25.2,13.7,33.4
LaMelo Ball,CHA,33,27.5,19.9,7.6,5.0,3.4,1.2,0.2,24.9,27.5,12.6,32.5
Trey Murphy III,NOP,41,35.7,22.2,3.6,6.1,3.1,1.5,0.3,28.3,25.8,9.7,31.9
Franz Wagner,ORL,26,32.8,22.2,3.6,6.1,1.5,1.1,0.3,28.3,25.8,9.7,31.9
Zion Williamson,NOP,29,29.3,22.5,3.5,5.8,0.0,1.2,0.6,28.3,26.0,9.3,31.8
Brandon Ingram,TOR,43,34.0,21.7,3.8,6.0,1.8,0.8,0.8,27.7,25.5,9.8,31.5
Amen Thompson,HOU,41,37.2,18.5,5.1,7.7,0.4,1.3,0.6,26.2,23.6,12.8,31.3
Evan Mobley,CLE,38,33.2,17.8,4.2,8.6,1.2,1.0,1.9,26.4,22.0,12.8,30.6
Jimmy Butler III,GSW,38,31.1,20.0,4.9,5.6,0.8,1.4,0.2,25.6,24.9,10.5,30.5
Domantas Sabonis,SAC,14,30.2,15.4,3.6,11.4,0.3,1.0,0.2,26.8,19.0,15.0,30.4
Ja Morant,MEM,19,28.3,19.3,7.8,3.3,1.0,1.0,0.2,22.6,27.1,11.1,30.4
Jalen Duren,DET,34,28.3,17.8,1.8,10.7,0.0,0.9,0.9,28.5,19.6,12.5,30.3
De'Aaron Fox,SAS,35,32.4,20.2,6.0,4.1,2.0,1.3,0.3,24.3,26.2,10.1,30.3
Norman Powell,MIA,38,30.9,23.7,2.7,3.7,3.1,1.2,0.2,27.4,26.4,6.4,30.1
Nikola Vučević,CHI,42,30.7,17.0,3.8,9.1,1.7,0.7,0.6,26.1,20.8,12.9,29.9
Trae Young,WAS,10,28.0,19.3,8.9,1.5,1.8,1.0,0.1,20.8,28.2,10.4,29.7
Bam Adebayo,MIA,36,30.8,17.2,2.8,9.6,1.5,0.9,0.8,26.8,20.0,12.4,29.6
Tyler Herro,MIA,11,31.7,21.9,2.7,4.7,2.2,1.0,0.5,26.6,24.6,7.4,29.3
Kevin Porter Jr.,MIL,23,33.6,16.8,7.4,5.0,1.7,2.1,0.4,21.8,24.2,12.4,29.2
Cooper Flagg,DAL,41,33.9,18.8,4.1,6.3,1.0,1.3,0.8,25.1,22.9,10.4,29.2
Miles Bridges,CHA,42,33.0,19.1,3.6,6.4,2.3,0.5,0.5,25.5,22.7,10.0,29.1
Stephon Castle,SAS,35,30.8,16.9,7.0,5.0,1.1,1.3,0.3,21.9,23.9,12.0,28.9
Shaedon Sharpe,POR,40,30.0,21.8,2.6,4.5,2.0,1.5,0.1,26.3,24.4,7.1,28.9
Russell Westbrook,SAC,44,29.7,15.4,7.0,6.2,2.0,1.4,0.2,21.6,22.4,13.2,28.6
RJ Barrett,TOR,23,30.4,19.6,3.7,5.0,1.9,0.8,0.2,24.6,23.3,8.7,28.3
Walker Kessler,UTA,5,30.8,14.4,3.0,10.8,1.2,1.4,1.8,25.2,17.4,13.8,28.2
Ivica Zubac,LAC,37,31.2,14.8,2.4,10.8,0.0,0.4,0.9,25.6,17.2,13.2,28.0
Chet Holmgren,OKC,38,29.0,18.0,1.6,8.4,1.4,0.6,2.0,26.4,19.6,10.0,28.0
Nickeil Alexander-Walker,ATL,43,32.9,20.7,3.5,3.7,3.1,1.1,0.6,24.4,24.2,7.2,27.9
Desmond Bane,ORL,42,33.9,18.9,4.5,4.5,1.6,0.8,0.5,23.4,23.4,9.0,27.9
Kon Knueppel,CHA,42,32.3,19.0,3.5,5.3,3.4,0.7,0.2,24.3,22.5,8.8,27.8
Derrick White,BOS,41,34.2,17.7,5.4,4.6,3.0,1.3,1.5,22.3,23.1,10.0,27.7
Brandon Miller,CHA,26,30.0,19.8,3.4,4.3,2.9,0.9,1.0,24.1,23.2,7.7,27.5
Onyeka Okongwu,ATL,43,32.1,16.1,3.4,7.9,1.9,1.2,1.0,24.0,19.5,11.3,27.4
Alex Sarr,WAS,33,27.8,17.2,2.8,7.4,1.0,0.8,2.2,24.6,20.0,10.2,27.4
Andrew Nembhard,IND,34,31.9,17.6,7.1,2.6,1.9,0.9,0.1,20.2,24.7,9.7,27.3
Darius Garland,CLE,26,30.5,18.0,6.9,2.4,2.3,0.8,0.1,20.4,24.9,9.3,27.3
Immanuel Quickley,TOR,42,32.4,16.9,6.2,4.1,2.6,1.2,0.1,21.0,23.1,10.3,27.2
Jalen Williams,OKC,24,29.6,16.8,5.6,4.8,0.8,1.3,0.4,21.6,22.4,10.4,27.2
Jrue Holiday,POR,16,29.9,15.1,7.1,5.0,2.3,1.4,0.2,20.1,22.2,12.1,27.2
Aaron Gordon,DEN,21,28.2,18.0,2.4,6.2,1.9,0.6,0.2,24.2,20.4,8.6,26.6
Coby White,CHI,22,28.5,18.5,4.6,3.5,2.5,0.8,0.1,22.0,23.1,8.1,26.6
Jerami Grant,POR,28,29.8,19.9,2.6,3.9,2.5,0.7,0.6,23.8,22.5,6.5,26.4
DeMar DeRozan,SAC,44,33.6,19.1,4.0,3.3,0.8,1.4,0.3,22.4,23.1,7.3,26.4
Payton Pritchard,BOS,41,32.7,16.6,5.3,4.4,2.5,0.9,0.1,21.0,21.9,9.7,26.3
Ryan Rollins,MIL,42,31.6,16.2,5.5,4.5,2.2,1.5,0.4,20.7,21.7,10.0,26.2
Jaren Jackson Jr.,MEM,39,30.5,18.8,1.8,5.5,1.7,0.9,1.5,24.3,20.6,7.3,26.1
Kyshawn George,WAS,33,31.2,15.5,4.9,5.6,2.2,1.1,0.9,21.1,20.4,10.5,26.0
Zach Edey,MEM,11,25.8,13.6,1.1,11.1,0.1,0.6,1.9,24.7,14.7,12.2,25.8
CJ McCollum,ATL,40,30.3,18.6,3.6,3.5,2.5,0.7,0.3,22.1,22.2,7.1,25.7
Jusuf Nurkić,UTA,34,26.1,10.9,4.5,10.2,0.6,1.4,0.4,21.1,15.4,14.7,25.6
Dillon Brooks,PHX,38,30.8,20.5,1.7,3.4,2.5,1.1,0.1,23.9,22.2,5.1,25.6
Jaime Jaquez Jr.,MIA,39,28.8,15.6,4.7,5.2,0.5,0.8,0.2,20.8,20.3,9.9,25.5
Bennedict Mathurin,IND,24,32.1,17.8,2.2,5.5,2.2,0.7,0.2,23.3,20.0,7.7,25.5
VJ Edgecombe,PHI,38,35.8,15.8,4.2,5.3,2.2,1.5,0.5,21.1,20.0,9.5,25.3
Zach LaVine,SAC,32,32.4,19.8,2.3,2.9,2.7,0.7,0.3,22.7,22.1,5.2,25.0
Kristaps Porziņģis,ATL,17,24.3,17.1,2.7,5.1,1.8,0.5,1.3,22.2,19.8,7.8,24.9
Paul George,PHI,23,29.8,15.9,3.7,5.2,2.3,1.3,0.5,21.1,19.6,8.9,24.8
Josh Hart,NYK,32,30.5,12.0,5.2,7.6,1.6,1.3,0.3,19.6,17.2,12.8,24.8
Dyson Daniels,ATL,43,34.1,11.8,6.2,6.7,0.2,1.9,0.5,18.5,18.0,12.9,24.7
Mikal Bridges,NYK,43,34.9,15.9,4.2,4.5,2.3,1.6,0.9,20.4,20.1,8.7,24.6
Isaiah Hartenstein,OKC,24,26.9,11.2,3.0,10.4,0.0,1.1,0.8,21.6,14.2,13.4,24.6
Nic Claxton,BKN,39,29.7,12.8,4.1,7.6,0.1,0.7,1.4,20.4,16.9,11.7,24.5
Derik Queen,NOP,44,26.0,12.6,4.3,7.5,0.2,1.0,0.9,20.1,16.9,11.8,24.4
Rudy Gobert,MIN,42,31.7,11.0,1.8,11.4,0.0,0.7,1.7,22.4,12.8,13.2,24.2
Jabari Smith Jr.,HOU,40,34.9,15.5,1.8,6.9,2.3,0.7,0.9,22.4,17.3,8.7,24.2
Donovan Clingan,POR,40,27.4,11.3,1.9,10.9,0.9,0.5,1.3,22.2,13.2,12.8,24.1
Anthony Black,ORL,42,30.6,15.9,4.0,4.1,1.6,1.3,0.6,20.0,19.9,8.1,24.0
P.J. Washington,DAL,31,31.4,14.6,1.9,7.4,1.3,1.0,1.4,22.0,16.5,9.3,23.9
Santi Aldama,MEM,41,28.0,14.0,3.0,6.7,1.6,0.9,0.7,20.7,17.0,9.7,23.7
Andrew Wiggins,MIA,40,31.6,15.9,2.8,4.9,1.9,1.2,1.0,20.8,18.7,7.7,23.6
Deandre Ayton,LAL,37,29.1,13.9,0.9,8.8,0.0,0.7,1.0,22.7,14.8,9.7,23.6
Jarrett Allen,CLE,32,26.7,13.5,2.1,7.9,0.0,1.0,0.8,21.4,15.6,10.0,23.5
OG Anunoby,NYK,33,32.8,15.8,2.2,5.5,1.9,1.7,0.7,21.3,18.0,7.7,23.5
Jalen Suggs,ORL,23,25.4,15.0,4.7,3.7,1.9,1.9,0.5,18.7,19.7,8.4,23.4
Cedric Coward,MEM,38,26.6,14.0,2.9,6.5,1.5,0.5,0.3,20.5,16.9,9.4,23.4
Naz Reid,MIN,44,26.2,14.5,2.4,6.2,2.4,0.9,0.8,20.7,16.9,8.6,23.1
Saddiq Bey,NOP,38,29.9,15.1,2.2,5.7,1.6,0.9,0.1,20.8,17.3,7.9,23.0
Grayson Allen,PHX,27,29.4,16.3,3.8,2.9,3.4,1.5,0.3,19.2,20.1,6.7,23.0
Jaden McDaniels,MIN,42,32.2,15.0,2.9,4.5,1.4,1.1,1.0,19.5,17.9,7.4,22.4
Wendell Carter Jr.,ORL,40,30.3,12.5,2.2,7.7,1.2,0.7,0.8,20.2,14.7,9.9,22.4
Obi Toppin,IND,3,27.4,14.0,1.7,6.7,1.0,1.0,0.0,20.7,15.7,8.4,22.4
Collin Gillespie,PHX,44,28.1,13.4,4.8,4.1,2.9,1.4,0.3,17.5,18.2,8.9,22.3
Keegan Murray,SAC,19,35.9,14.6,1.5,6.1,1.3,1.2,1.6,20.7,16.1,7.6,22.2
Cam Thomas,BKN,18,25.1,17.3,3.1,1.8,1.8,0.2,0.1,19.1,20.4,4.9,22.2
Donte DiVincenzo,MIN,44,31.8,13.2,4.3,4.6,3.0,1.3,0.5,17.8,17.5,8.9,22.1
Kel'el Ware,MIA,43,23.8,11.6,0.6,9.8,1.2,0.9,1.1,21.4,12.2,10.4,22.0
Matas Buzelis,CHI,43,27.9,15.0,1.9,5.1,1.8,0.7,1.4,20.1,16.9,7.0,22.0
Naji Marshall,DAL,44,28.9,14.2,2.9,4.7,0.9,1.1,0.1,18.9,17.1,7.6,21.8
Quentin Grimes,PHI,40,31.2,13.8,3.7,4.0,2.1,1.0,0.5,17.8,17.5,7.7,21.5
Mark Williams,PHX,39,24.0,12.2,1.0,8.3,0.0,1.1,1.0,20.5,13.2,9.3,21.5
Devin Vassell,SAS,32,31.9,15.0,2.4,4.0,2.7,0.9,0.5,19.0,17.4,6.4,21.4
Ajay Mitchell,OKC,42,26.3,14.0,3.7,3.5,1.1,1.4,0.3,17.5,17.7,7.2,21.2
Tre Jones,CHI,37,26.8,12.4,5.8,3.0,0.5,1.3,0.2,15.4,18.2,8.8,21.2
Collin Sexton,CHA,34,23.5,14.9,4.1,2.0,1.3,0.8,0.1,16.9,19.0,6.1,21.0
Dennis Schröder,SAC,34,26.5,12.4,5.5,3.1,1.4,0.8,0.1,15.5,17.9,8.6,21.0
Jaylon Tyson,CLE,39,27.4,13.5,2.1,5.4,2.0,1.0,0.5,18.9,15.6,7.5,21.0
Jeremiah Fears,NOP,45,26.5,13.9,3.2,3.7,1.0,1.2,0.2,17.6,17.1,6.9,20.8
Jonathan Kuminga,GSW,19,24.6,12.2,2.5,6.1,0.9,0.3,0.3,18.3,14.7,8.6,20.8
Tobias Harris,DET,26,27.4,13.7,2.5,4.6,1.3,0.8,0.3,18.3,16.2,7.1,20.8
Bobby Portis,MIL,42,23.3,13.1,1.3,6.4,2.0,0.5,0.2,19.5,14.4,7.7,20.8
Peyton Watson,DEN,42,29.7,14.0,1.8,5.0,1.4,1.0,1.0,19.0,15.8,6.8,20.8
Ayo Dosunmu,CHI,37,26.1,14.6,3.6,2.6,1.9,0.8,0.3,17.2,18.2,6.2,20.8
De'Andre Hunter,CLE,39,26.9,14.1,2.2,4.4,1.7,0.6,0.2,18.5,16.3,6.6,20.7
Keldon Johnson,SAS,44,23.8,13.3,1.3,6.1,1.3,0.7,0.1,19.4,14.6,7.4,20.7
Aaron Nesmith,IND,23,30.3,13.4,2.0,5.3,2.5,0.7,0.6,18.7,15.4,7.3,20.7
Toumani Camara,POR,44,33.8,12.9,2.6,5.0,2.5,1.0,0.5,17.9,15.5,7.6,20.5
Kelly Oubre Jr.,PHI,20,31.9,14.1,1.3,4.6,1.8,1.2,0.8,18.7,15.4,5.9,20.0
Brandin Podziemski,GSW,45,26.7,12.3,3.2,4.4,1.8,1.1,0.2,16.7,15.5,7.6,19.9
Cam Spencer,MEM,40,23.8,11.8,5.4,2.7,2.3,0.7,0.1,14.5,17.2,8.1,19.9
Draymond Green,GSW,37,26.8,8.8,5.2,5.8,1.5,0.8,0.7,14.6,14.0,11.0,19.8
Jordan Poole,NOP,26,25.8,15.0,3.1,1.7,2.7,0.7,0.3,16.7,18.1,4.8,19.8
Neemias Queta,BOS,40,24.8,10.2,1.4,8.2,0.0,0.9,1.2,18.4,11.6,9.6,19.8
Jakob Poeltl,TOR,21,25.3,9.7,2.1,7.7,0.0,0.8,0.5,17.4,11.8,9.8,19.5
Julian Champagnie,SAS,44,28.5,11.6,1.5,6.3,2.5,0.9,0.4,17.9,13.1,7.8,19.4
Ausar Thompson,DET,37,25.9,10.8,2.6,5.9,0.1,1.6,0.8,16.7,13.4,8.5,19.3
Jock Landale,MEM,39,22.8,11.3,1.7,6.3,1.1,0.5,0.5,17.6,13.0,8.0,19.3
Kyle Kuzma,MIL,40,26.0,12.6,2.2,4.5,0.9,0.7,0.5,17.1,14.8,6.7,19.3
Noah Clowney,BKN,41,28.6,13.2,1.9,4.1,2.1,0.8,0.8,17.3,15.1,6.0,19.2
Tari Eason,HOU,22,23.5,11.7,1.5,6.0,2.0,1.1,0.6,17.7,13.2,7.5,19.2
Myles Turner,MIL,41,28.3,12.2,1.6,5.3,2.2,0.6,1.5,17.5,13.8,6.9,19.1
John Collins,LAC,40,27.4,13.3,0.8,4.9,1.4,0.9,0.9,18.2,14.1,5.7,19.0
Anfernee Simons,BOS,42,24.2,14.0,2.5,2.4,2.6,0.5,0.1,16.4,16.5,4.9,18.9
Davion Mitchell,MIA,40,29.2,9.0,7.2,2.6,1.2,1.2,0.1,11.6,16.2,9.8,18.8
Reed Sheppard,HOU,41,25.0,13.0,3.2,2.6,2.5,1.4,0.5,15.6,16.2,5.8,18.8
Brandon Williams,DAL,38,22.0,12.1,3.7,2.8,0.5,1.1,0.2,14.9,15.8,6.5,18.6
Jalen Green,PHX,3,16.6,14.3,2.3,2.0,2.7,0.7,0.0,16.3,16.6,4.3,18.6
Max Christie,DAL,40,29.1,12.9,2.2,3.5,2.5,0.5,0.4,16.4,15.1,5.7,18.6
Sam Merrill,CLE,24,25.8,13.8,2.3,2.4,3.5,0.7,0.1,16.2,16.1,4.7,18.5
Royce O'Neale,PHX,44,29.3,10.5,2.9,5.0,2.9,1.2,0.3,15.5,13.4,7.9,18.4
Miles McBride,NYK,32,28.3,13.1,2.7,2.6,3.0,0.8,0.2,15.7,15.8,5.3,18.4
